tablescraper-selected-row,text-left,text-left 2,text-right,text-right 2,text-right 3,text-right 4,text-right 5
1,2025090801016938,NMIC,38,32,10,"1,191.00","11,910.00"
2,2025090804016173,BPCL,48,22,15,798.00,"11,970.00"
3,2025090801016937,SAMAJ,62,49,120,"2,800.00","336,000.00"
4,2025090805017979,MKJC,60,70,200,596.50,"119,300.00"
5,2025090805017978,SONA,64,42,68,441.00,"29,988.00"
6,2025090805017977,SONA,7,42,20,441.10,"8,822.00"
7,2025090805017976,SONA,54,42,10,441.10,"4,411.00"
8,2025090801016936,HBL,13,8,10,200.60,"2,006.00"
9,2025090805017975,PHCL,36,41,10,389.00,"3,890.00"
10,2025090801016935,CZBIL,25,34,10,205.00,"2,050.00"
11,2025090804016172,HURJA,43,33,173,221.10,"38,250.30"
12,2025090804016171,HURJA,1,33,500,221.50,"110,750.00"
13,2025090804016170,HURJA,57,33,230,221.50,"50,945.00"
14,2025090804016169,HURJA,55,33,222,221.50,"49,173.00"
15,2025090804016168,HURJA,74,33,200,221.70,"44,340.00"
16,2025090804016167,HURJA,53,33,178,221.80,"39,480.40"
17,2025090803008614,LBBL,8,91,100,521.30,"52,130.00"
18,2025090803008613,LBBL,16,91,300,522.00,"156,600.00"
19,2025090803008612,LBBL,60,91,100,522.00,"52,200.00"
20,2025090803008611,GMFIL,88,71,250,465.00,"116,250.00"
21,2025090803008610,GMFIL,88,45,50,464.00,"23,200.00"
22,2025090803008609,ILBS,63,45,100,"1,200.00","120,000.00"
23,2025090805017974,MHL,13,45,90,476.30,"42,867.00"
24,2025090805017973,MHL,52,45,10,476.40,"4,764.00"
25,2025090805017972,MMKJL,62,18,10,575.00,"5,750.00"
26,2025090805017971,MMKJL,62,34,10,575.00,"5,750.00"
27,2025090805017970,MMKJL,62,49,10,575.00,"5,750.00"
28,2025090805017969,MMKJL,62,52,40,575.00,"23,000.00"
29,2025090805017968,MMKJL,62,57,10,574.00,"5,740.00"
30,2025090805017967,MMKJL,62,70,60,570.00,"34,200.00"
31,2025090805017966,MMKJL,62,58,10,570.00,"5,700.00"
32,2025090805017965,TPC,37,57,53,327.10,"17,336.30"
33,2025090801016934,SCB,57,13,180,632.90,"113,922.00"
34,2025090805017964,MSHL,4,70,24,900.10,"21,602.40"
35,2025090805017963,MSHL,36,70,36,900.20,"32,407.20"
36,2025090804016166,SPDL,48,62,100,403.80,"40,380.00"
37,2025090801016933,SANIMA,49,58,275,365.00,"100,375.00"
38,2025090803008608,KSBBL,68,49,24,521.30,"12,511.20"
39,2025090803008607,KSBBL,42,49,26,523.20,"13,603.20"
40,2025090805017962,NRIC,29,40,37,"1,634.90","60,491.30"
41,2025090805017961,NRIC,29,51,10,"1,634.80","16,348.00"
42,2025090805017960,NRIC,29,58,53,"1,633.00","86,549.00"
43,2025090805017959,HRL,49,94,460,974.00,"448,040.00"
44,2025090805017958,HRL,25,94,200,975.00,"195,000.00"
45,2025090805017957,DORDI,59,32,19,238.00,"4,522.00"
46,2025090804016165,UMHL,39,62,10,576.80,"5,768.00"
47,2025090803008606,NABBC,71,70,10,691.00,"6,910.00"
48,2025090803008605,NABBC,71,50,10,690.90,"6,909.00"
49,2025090803008604,NABBC,71,22,50,690.00,"34,500.00"
50,2025090803008603,CFCL,35,45,10,486.00,"4,860.00"
51,2025090805017956,NRIC,48,50,20,"1,631.00","32,620.00"
52,2025090803008602,GBBL,66,14,95,429.40,"40,793.00"
53,2025090803008601,GBBL,66,32,100,429.00,"42,900.00"
54,2025090803008600,GBBL,66,47,100,425.00,"42,500.00"
55,2025090803008599,GBBL,66,62,620,425.00,"263,500.00"
56,2025090803008598,GBBL,66,101,85,425.00,"36,125.00"
57,2025090801016932,SCB,42,34,21,632.00,"13,272.00"
58,2025090805017955,MBJC,32,62,10,301.20,"3,012.00"
59,2025090803008597,SFCL,36,32,105,430.00,"45,150.00"
60,2025090803008596,SFCL,25,32,300,430.00,"129,000.00"
61,2025090803008595,SFCL,47,32,80,430.00,"34,400.00"
62,2025090803008594,SFCL,49,32,15,431.00,"6,465.00"
63,2025090804016164,UPPER,45,36,300,183.30,"54,990.00"
64,2025090801016931,BHCL,48,41,10,456.00,"4,560.00"
65,2025090801016930,BHCL,48,58,10,456.00,"4,560.00"
66,2025090801016929,BHCL,48,35,74,456.00,"33,744.00"
67,2025090803008593,CORBL,29,40,54,"1,825.00","98,550.00"
68,2025090803008592,CORBL,29,41,10,"1,810.00","18,100.00"
69,2025090803008591,CORBL,29,59,10,"1,810.00","18,100.00"
70,2025090803008590,CORBL,29,59,50,"1,807.00","90,350.00"
71,2025090803008589,CORBL,29,42,100,"1,800.00","180,000.00"
