Symbol,Above_VWAP
ACLBSL,0
ADBL,133
ADBLD83,0
AHL,29
AHPC,182
AKJCL,165
AKPL,193
ALBSL,0
ALICL,53
ANLB,0
API,186
AVYAN,81
BARUN,134
BBC,0
BEDC,45
BFC,35
BGWT,46
BHCL,849
BHDC,124
BHL,263
BHPL,48
BNHC,74
BNT,0
BPCL,194
C30MF,1
CBBL,0
CCBD88,0
CFCL,23
CGH,221
CHCL,78
CHDC,0
CHL,60
CIT,0
CITY,52
CIZBD86,0
CIZBD90,0
CKHL,24
CLI,186
CMF2,0
CORBL,0
CREST,0
CYCL,0
CZBIL,47
DDBL,29
DHPL,32
DLBS,0
DOLTI,21
DORDI,221
EBL,301
EBLD86,0
EBLD91,0
EDBL,41
EHPL,20
ENL,10
FMDBL,48
FOWAD,0
GBBD85,0
GBBL,102
GBILD84/85,0
GBIME,186
GBIMESY2,6
GBLBS,7
GCIL,106
GFCL,34
GHL,119
GIBF1,1
GILB,0
GLBSL,0
GLH,101
GMFBS,0
GMFIL,11
GMLI,0
GRDBL,76
GSY,9
GUFL,21
GVL,123
GWFD83,0
H8020,29
HATHY,12
HBL,2047
HDHPC,239
HDL,0
HEI,37
HEIP,7
HHL,94
HIDCL,210
HIDCLP,147
HIMSTAR,21
HLBSL,12
HLI,93
HPPL,96
HRL,689
HURJA,115
ICFC,56
ICFCD88,0
IGI,17
IHL,50
ILBS,0
ILI,144
JBBL,70
JBLB,0
JFL,46
JOSHI,48
JSLBB,0
KBL,282
KBSH,0
KDBY,8
KDL,7
KEF,2
KKHC,35
KMCDB,0
KPCL,88
KSBBL,248
KSY,5
LBBL,175
LBLD86,0
LEC,312
LICN,25
LLBS,24
LSL,102
LUK,3
LVF2,4
MAKAR,30
MANDU,7
MATRI,22
MBJC,208
MBL,109
MBLEF,6
MCHL,24
MDB,62
MEHL,50
MEL,57
MEN,141
MERO,53
MFIL,35
MFLD85,0
MHCL,73
MHL,104
MHNL,38
MKCL,0
MKHC,64
MKHL,20
MKJC,295
MLBBL,0
MLBL,82
MLBS,0
MLBSL,0
MMF1,21
MMKJL,29
MNBBL,132
MNMF1,9
MPFL,25
MSHL,16
MSLB,0
NABBC,45
NABIL,132
NABILD87,0
NADEP,10
NBF2,20
NBF3,12
NBL,137
NBLD82,0
NBLD85,0
NBLD87,0
NCCD86,0
NESDO,0
NFS,77
NGPL,374
NHDL,28
NHPC,96
NIBLGF,16
NIBLSTF,8
NIBSF2,9
NICA,139
NICAD8283,0
NICBF,0
NICFC,6
NICGF2,6
NICL,50
NICLBSL,78
NICSF,2
NIFRA,286
NIFRAGED,1
NIL,37
NIMB,163
NIMBPO,6
NLG,57
NLIC,102
NLICL,62
NMB,78
NMB50,4
NMBHF2,4
NMBMF,5
NMFBS,0
NMIC,0
NMLBBL,57
NRIC,0
NRM,230
NRN,0
NSIF2,10
NTC,124
NUBL,56
NWCL,22
NYADI,85
OHL,46
OMPL,0
PBD85,0
PBD88,0
PCBL,96
PFL,29
PHCL,50
PMHPL,158
PMLI,102
PPCL,49
PPL,59
PRIN,41
PROFL,37
PRSF,2
PRVU,162
PSF,3
PURE,150
RADHI,172
RAWA,26
RBBD2088,0
RBCL,0
RBCLPO,0
RFPL,119
RHGCL,84
RHPL,83
RIDI,85
RLFL,61
RMF1,15
RMF2,13
RNLI,189
RSDC,38
RSY,1
RURU,53
SADBL,77
SAGF,3
SAHAS,305
SALICO,11
SAMAJ,0
SANIMA,144
SANVI,299
SAPDBL,82
SARBTM,113
SBCF,2
SBD89,0
SBI,43
SBID89,0
SBL,126
SCB,49
SCBD,0
SDBD87,0
SEF,7
SFCL,56
SFEF,5
SFMF,1
SGHC,38
SGIC,96
SHEL,233
SHINE,92
SHIVM,356
SHL,63
SHLB,0
SHPC,201
SICL,37
SIFC,21
SIGS2,0
SIGS3,1
SIKLES,72
SINDU,46
SJCL,72
SJLIC,116
SKBBL,107
SLBBL,57
SLBSL,0
SLCF,8
SMATA,77
SMB,0
SMFBS,0
SMH,8
SMHL,100
SMJC,51
SMPDA,47
SNLI,137
SONA,176
SPC,29
SPDL,258
SPHL,41
SPIL,17
SPL,10
SRLI,165
SSHL,137
STC,0
SWBBL,44
SWMF,18
TAMOR,47
TPC,31
TRH,13
TSHL,30
TTL,464
TVCL,29
UAIL,64
UHEWA,35
ULBSL,0
ULHC,48
UMHL,344
UMRH,46
UNHPL,854
UNL,0
UNLB,0
UPCL,1042
UPPER,225
USHEC,64
USHL,21
USLB,0
VLBS,13
VLUCL,46
WNLB,0
