SN,Contract No,Symbol,Buyer,Seller,Quantity,Rate,Amount
1,2030000000000000.0,NMIC,38,32,10.0,0.0,0.0
2,2030000000000000.0,BPCL,48,22,15.0,798.0,0.0
3,2030000000000000.0,BPCL,62,49,120.0,0.0,0.0
4,2030000000000000.0,MKJC,60,70,200.0,596.5,0.0
5,2030000000000000.0,SONA,64,42,68.0,441.0,0.0
6,2030000000000000.0,SONA,7,42,20.0,441.1,0.0
7,2030000000000000.0,SONA,54,42,10.0,441.1,0.0
8,2030000000000000.0,HBL,13,8,10.0,200.6,0.0
9,2030000000000000.0,PHCL,36,41,10.0,389.0,0.0
10,2030000000000000.0,CZBIL,25,34,10.0,205.0,0.0
11,2030000000000000.0,HURJA,43,33,173.0,221.1,0.0
12,2030000000000000.0,HURJA,1,33,500.0,221.5,0.0
13,2030000000000000.0,HURJA,57,33,230.0,221.5,0.0
14,2030000000000000.0,HURJA,55,33,222.0,221.5,0.0
15,2030000000000000.0,HURJA,74,33,200.0,221.7,0.0
16,2030000000000000.0,HURJA,53,33,178.0,221.8,0.0
17,2030000000000000.0,LBBL,8,91,100.0,521.3,0.0
18,2030000000000000.0,LBBL,16,91,300.0,522.0,0.0
19,2030000000000000.0,LBBL,60,91,100.0,522.0,0.0
20,2030000000000000.0,GMFIL,88,71,250.0,465.0,0.0
21,2030000000000000.0,GMFIL,88,45,50.0,464.0,0.0
22,2030000000000000.0,ILBS,63,45,100.0,0.0,0.0
23,2030000000000000.0,MHL,13,45,90.0,476.3,0.0
24,2030000000000000.0,MHL,52,45,10.0,476.4,0.0
25,2030000000000000.0,MMKJL,62,18,10.0,575.0,0.0
26,2030000000000000.0,MMKJL,62,34,10.0,575.0,0.0
27,2030000000000000.0,MMKJL,62,49,10.0,575.0,0.0
28,2030000000000000.0,MMKJL,62,52,40.0,575.0,0.0
29,2030000000000000.0,MMKJL,62,57,10.0,574.0,0.0
30,2030000000000000.0,MMKJL,62,70,60.0,570.0,0.0
31,2030000000000000.0,MMKJL,62,58,10.0,570.0,0.0
32,2030000000000000.0,TPC,37,57,53.0,327.1,0.0
33,2030000000000000.0,SCB,57,13,180.0,632.9,0.0
34,2030000000000000.0,MSHL,4,70,24.0,900.1,0.0
35,2030000000000000.0,MSHL,36,70,36.0,900.2,0.0
36,2030000000000000.0,SPDL,48,62,100.0,403.8,0.0
37,2030000000000000.0,SANIMA,49,58,275.0,365.0,0.0
38,2030000000000000.0,KSBBL,68,49,24.0,521.3,0.0
39,2030000000000000.0,KSBBL,42,49,26.0,523.2,0.0
40,2030000000000000.0,NRIC,29,40,37.0,0.0,0.0
41,2030000000000000.0,NRIC,29,51,10.0,0.0,0.0
