,SN,Contract No,Symbol,Buyer,Seller,Quantity,Rate,Amount,Trading Date,VWAP,Rolling Volatility,Trade Size,Buyer Info,Seller Info,Above_VWAP,Below_VWAP,Qty_Outlier,Amount_Outlier
9536,10037,2030000000000000.0,UNHPL,42,1,2.0,453.9,907.8,2025-09-08,456.54486181837126,240.53877719264517,Small,Known Broker,Known Broker,False,True,False,True
9592,10093,2030000000000000.0,UNHPL,42,58,2.0,451.0,902.0,2025-09-08,456.54486181837126,225.78086721420857,Small,Known Broker,Known Broker,False,True,False,True
9651,10152,2030000000000000.0,SHEL,88,45,865.0,302.6,0.0,2025-09-08,303.3728467373475,273.53437322086904,Large,Known Broker,Known Broker,False,True,True,False
9656,10157,2030000000000000.0,AKJCL,4,42,730.0,192.0,0.0,2025-09-08,193.01680120878046,110.851251684411,Large,Known Broker,Known Broker,False,True,True,False
9708,10209,2030000000000000.0,UPCL,16,35,640.0,412.0,0.0,2025-09-08,411.3926609815923,295.08372258281776,Large,Known Broker,Known Broker,True,False,True,False
9747,10248,2030000000000000.0,SHPC,28,14,971.0,541.0,0.0,2025-09-08,538.9915543486029,198.32044776068844,Large,Known Broker,Known Broker,True,False,True,False
9772,10273,2030000000000000.0,NRIC,94,45,943.0,0.0,0.0,2025-09-08,0.0,0.0,Large,Known Broker,Known Broker,False,False,True,False
9783,10284,2030000000000000.0,LBBL,45,67,790.0,525.0,0.0,2025-09-08,524.6788026970823,265.6281297854839,Large,Known Broker,Known Broker,True,False,True,False
9793,10294,2030000000000000.0,MNBBL,50,43,680.0,436.7,0.0,2025-09-08,438.0804152090383,168.1951545080899,Large,Known Broker,Known Broker,False,True,True,False
9819,10320,2030000000000000.0,SBL,77,81,696.0,372.0,0.0,2025-09-08,370.97390539106954,86.03547717850756,Large,Known Broker,Known Broker,True,False,True,False
9865,10366,2030000000000000.0,KSBBL,62,58,642.0,524.1,0.0,2025-09-08,526.8804312337569,144.40776756578367,Large,Known Broker,Known Broker,False,True,True,False
9926,10427,2030000000000000.0,SHEL,88,49,980.0,302.7,0.0,2025-09-08,303.3728467373475,0.0577350291557035,Large,Known Broker,Known Broker,False,True,True,False
546,1047,2030000000000000.0,SARBTM,36,32,675.0,888.7,0.0,2025-09-08,894.2986210449752,345.7224754047675,Large,Known Broker,Known Broker,False,True,True,False
10008,10509,2030000000000000.0,SHIVM,38,87,720.0,583.0,0.0,2025-09-08,582.6545621696162,0.5773502693077024,Large,Known Broker,Known Broker,True,False,True,False
10013,10514,2030000000000000.0,NIMB,17,94,733.0,205.4,0.0,2025-09-08,205.93632220009192,0.057735029081143835,Large,Known Broker,Known Broker,False,True,True,False
552,1053,2030000000000000.0,NGPL,29,59,989.0,398.0,0.0,2025-09-08,397.2731191471952,169.2522771880293,Large,Known Broker,Known Broker,True,False,True,False
10042,10543,2030000000000000.0,UNHPL,99,64,950.0,458.5,0.0,2025-09-08,456.54486181837126,0.23094010801195444,Large,Known Broker,Known Broker,True,False,True,False
10054,10555,2030000000000000.0,SRLI,88,36,1.0,391.0,391.0,2025-09-08,393.14475828354153,220.10906387516206,Small,Known Broker,Known Broker,False,True,False,True
10097,10598,2030000000000000.0,GBIMESY2,5,58,100.0,9.12,912.0,2025-09-08,9.127058823529412,259.2187238607586,Large,Known Broker,Known Broker,False,True,False,True
10180,10681,2030000000000000.0,BHCL,38,22,918.0,465.0,0.0,2025-09-08,465.9123469223332,467.05149965858527,Large,Known Broker,Known Broker,False,True,True,False
10222,10723,2030000000000000.0,CHL,6,41,790.0,243.5,0.0,2025-09-08,243.59297171482064,115.3835487984906,Large,Known Broker,Known Broker,False,True,True,False
10225,10726,2030000000000000.0,UPCL,16,35,800.0,412.0,0.0,2025-09-08,411.3926609815923,163.04371601915096,Large,Known Broker,Known Broker,True,False,True,False
10254,10755,2030000000000000.0,BHCL,41,49,630.0,465.0,0.0,2025-09-08,465.9123469223332,0.0,Large,Known Broker,Known Broker,False,True,True,False
10296,10797,2030000000000000.0,NTC,52,45,720.0,825.0,0.0,2025-09-08,827.0519616026711,432.9945149768068,Large,Known Broker,Known Broker,False,True,True,False
10382,10883,2030000000000000.0,PMLI,59,39,1.0,481.0,481.0,2025-09-08,487.38928571428573,175.53097542409284,Small,Known Broker,Known Broker,False,True,False,True
10407,10908,2030000000000000.0,NICSF,32,32,100.0,8.81,881.0,2025-09-08,8.820769230769232,159.3832394994335,Large,Known Broker,Known Broker,False,True,False,True
590,1091,2030000000000000.0,MBL,28,42,700.0,248.5,0.0,2025-09-08,249.0411341426615,199.084020035094,Large,Known Broker,Known Broker,False,True,True,False
10427,10928,2030000000000000.0,NIFRA,38,49,1.0,271.0,271.0,2025-09-08,270.6788130899634,141.95816285089165,Small,Known Broker,Known Broker,True,False,False,True
10465,10966,2030000000000000.0,SPDL,17,7,749.0,403.0,0.0,2025-09-08,401.774507579763,0.4582575697243682,Large,Known Broker,Known Broker,True,False,True,False
10513,11014,2030000000000000.0,SPDL,17,14,833.0,401.9,0.0,2025-09-08,401.774507579763,29.993388160288795,Large,Known Broker,Known Broker,True,False,True,False
10518,11019,2030000000000000.0,MMF1,57,32,100.0,9.77,977.0,2025-09-08,9.8003583855254,225.70362934609767,Large,Known Broker,Known Broker,False,True,False,True
10555,11056,2030000000000000.0,KSBBL,62,45,764.0,527.0,0.0,2025-09-08,526.8804312337569,176.9158086020968,Large,Known Broker,Known Broker,True,False,True,False
606,1107,2030000000000000.0,SHIVM,44,60,658.0,579.0,0.0,2025-09-08,582.6545621696162,198.37795576458055,Large,Known Broker,Known Broker,False,True,True,False
10571,11072,2030000000000000.0,KSBBL,62,77,876.0,527.0,0.0,2025-09-08,526.8804312337569,287.13954795534573,Large,Known Broker,Known Broker,True,False,True,False
10574,11075,2030000000000000.0,KSBBL,62,77,800.0,527.7,0.0,2025-09-08,526.8804312337569,0.10000000110658877,Large,Known Broker,Known Broker,True,False,True,False
10594,11095,2030000000000000.0,SIFC,88,48,700.0,502.0,0.0,2025-09-08,498.87078313253016,156.74986443375468,Large,Known Broker,Known Broker,True,False,True,False
10597,11098,2030000000000000.0,NIBLSTF,89,51,100.0,8.6,860.0,2025-09-08,8.485333333333333,284.2814992221633,Large,Known Broker,Known Broker,True,False,False,True
10598,11099,2030000000000000.0,NIBLSTF,89,51,100.0,8.6,860.0,2025-09-08,8.485333333333333,0.011547054738695512,Large,Known Broker,Known Broker,True,False,False,True
10599,11100,2030000000000000.0,SHPC,90,90,900.0,535.5,0.0,2025-09-08,538.9915543486029,207.12542898768783,Large,Known Broker,Known Broker,False,True,True,False
10661,11162,2030000000000000.0,SHPC,90,90,900.0,535.5,0.0,2025-09-08,538.9915543486029,271.02444539192555,Large,Known Broker,Known Broker,False,True,True,False
10668,11169,2030000000000000.0,KBL,67,45,879.0,195.0,0.0,2025-09-08,195.39428881472838,0.0,Large,Known Broker,Known Broker,False,True,True,False
616,1117,2030000000000000.0,HLI,19,64,2.0,391.0,782.0,2025-09-08,395.0524708789269,113.16065276117091,Small,Known Broker,Known Broker,False,True,False,True
10703,11204,2030000000000000.0,PROFL,6,62,900.0,475.0,0.0,2025-09-08,475.71633482324256,274.24137786507475,Large,Known Broker,Known Broker,False,True,True,False
10727,11228,2030000000000000.0,GHL,54,5,800.0,217.1,0.0,2025-09-08,218.7739030937816,134.46487769426608,Large,Known Broker,Known Broker,False,True,True,False
10755,11256,2030000000000000.0,PMHPL,19,99,687.0,351.0,0.0,2025-09-08,352.30811812139046,295.0699126195922,Large,Known Broker,Known Broker,False,True,True,False
10775,11276,2030000000000000.0,NMBHF2,52,49,100.0,8.98,898.0,2025-09-08,8.995427728613569,408.2036307204208,Large,Known Broker,Known Broker,False,True,False,True
633,1134,2030000000000000.0,UPCL,49,5,645.0,413.2,0.0,2025-09-08,411.3926609815923,55.33922659380529,Large,Known Broker,Known Broker,True,False,True,False
10844,11345,2030000000000000.0,AHPC,88,48,948.0,283.0,0.0,2025-09-08,282.77807694917556,114.9504385956568,Large,Known Broker,Known Broker,True,False,True,False
10860,11361,2030000000000000.0,GSY,4,49,100.0,8.97,897.0,2025-09-08,9.009583333333333,113.25815040576221,Large,Known Broker,Known Broker,False,True,False,True
10863,11364,2030000000000000.0,NRN,20,56,953.0,0.0,0.0,2025-09-08,0.0,298.05818223964366,Large,Known Broker,Known Broker,False,False,True,False
10869,11370,2030000000000000.0,HRL,26,21,1.0,975.5,975.5,2025-09-08,979.7508980090372,213.84641685097225,Small,Known Broker,Known Broker,False,True,False,True
10908,11409,2030000000000000.0,GSY,1,34,100.0,8.98,898.0,2025-09-08,9.009583333333333,281.2689296740767,Large,Known Broker,Known Broker,False,True,False,True
10921,11422,2030000000000000.0,AKPL,71,48,855.0,253.0,0.0,2025-09-08,253.25692971779202,146.0696181049776,Large,Known Broker,Known Broker,False,True,True,False
10977,11478,2030000000000000.0,KSY,58,7,100.0,8.91,891.0,2025-09-08,8.94111111111111,289.7375669463663,Large,Known Broker,Known Broker,False,True,False,True
10989,11490,2030000000000000.0,EBL,7,62,1.0,711.0,711.0,2025-09-08,714.1563673550174,369.5316134423867,Small,Known Broker,Known Broker,False,True,False,True
11005,11506,2030000000000000.0,RADHI,90,90,900.0,753.1,0.0,2025-09-08,755.9634460172596,378.8853256593611,Large,Known Broker,Known Broker,False,True,True,False
11009,11510,2030000000000000.0,GHL,5,5,880.0,217.0,0.0,2025-09-08,218.7739030937816,126.79006270209135,Large,Known Broker,Known Broker,False,True,True,False
11070,11571,2030000000000000.0,NRIC,14,56,843.0,0.0,0.0,2025-09-08,0.0,116.04740410712041,Large,Known Broker,Known Broker,False,False,True,False
11080,11581,2030000000000000.0,UMHL,62,60,947.0,576.2,0.0,2025-09-08,574.7904068966278,332.69809637768265,Large,Known Broker,Known Broker,True,False,True,False
11118,11619,2030000000000000.0,UMHL,17,62,930.0,574.0,0.0,2025-09-08,574.7904068966278,116.04740410711477,Large,Known Broker,Known Broker,False,True,True,False
11119,11620,2030000000000000.0,UMHL,28,62,870.0,574.0,0.0,2025-09-08,574.7904068966278,331.3990545148459,Large,Known Broker,Known Broker,False,True,True,False
11131,11632,2030000000000000.0,RADHI,90,90,900.0,753.1,0.0,2025-09-08,755.9634460172596,196.18283139289574,Large,Known Broker,Known Broker,False,True,True,False
11144,11645,2030000000000000.0,SPDL,33,58,763.0,400.5,0.0,2025-09-08,401.774507579763,48.786097746527254,Large,Known Broker,Known Broker,False,True,True,False
11170,11671,2030000000000000.0,HURJA,11,66,850.0,223.1,0.0,2025-09-08,223.87405476461018,196.67746015579394,Large,Known Broker,Known Broker,False,True,True,False
667,1168,2030000000000000.0,RNLI,21,49,1.0,439.7,439.7,2025-09-08,451.04576344292144,282.81825141481596,Small,Known Broker,Known Broker,False,True,False,True
11179,11680,2030000000000000.0,KEF,40,35,100.0,9.12,912.0,2025-09-08,8.996,251.26957661709557,Large,Known Broker,Known Broker,True,False,False,True
11206,11707,2030000000000000.0,MLBL,52,51,950.0,384.9,0.0,2025-09-08,385.37245872321404,92.09833512791627,Large,Known Broker,Known Broker,False,True,True,False
11286,11787,2030000000000000.0,SLBSL,1,56,690.0,0.0,0.0,2025-09-08,0.0,427.24840939824884,Large,Known Broker,Known Broker,False,False,True,False
679,1180,2030000000000000.0,UPCL,40,85,645.0,413.2,0.0,2025-09-08,411.3926609815923,83.18108759407981,Large,Known Broker,Known Broker,True,False,True,False
11300,11801,2030000000000000.0,NBL,45,43,775.0,247.9,0.0,2025-09-08,247.01757500517277,95.4071450853343,Large,Known Broker,Known Broker,True,False,True,False
11329,11830,2030000000000000.0,SAHAS,16,56,854.0,622.4,0.0,2025-09-08,625.1987110999977,43.53221029689874,Large,Known Broker,Known Broker,False,True,True,False
11339,11840,2030000000000000.0,MLBL,40,51,900.0,384.9,0.0,2025-09-08,385.37245872321404,354.00917125596277,Large,Known Broker,Known Broker,False,True,True,False
11468,11969,2030000000000000.0,GBIME,26,46,687.0,245.0,0.0,2025-09-08,245.3072155812442,207.69288224042404,Large,Known Broker,Known Broker,False,True,True,False
11499,12000,2030000000000000.0,ILI,56,39,2.0,442.2,884.4,2025-09-08,444.2173221960911,385.9404271818828,Small,Known Broker,Known Broker,False,True,False,True
11537,12038,2030000000000000.0,ILI,56,58,2.0,442.0,884.0,2025-09-08,444.2173221960911,247.11350293606856,Small,Known Broker,Known Broker,False,True,False,True
11603,12104,2030000000000000.0,ILI,56,58,2.0,441.0,882.0,2025-09-08,444.2173221960911,220.6815201446064,Small,Known Broker,Known Broker,False,True,False,True
11607,12108,2030000000000000.0,MBLEF,14,35,100.0,8.96,896.0,2025-09-08,9.062,285.7070571990376,Large,Known Broker,Known Broker,False,True,False,True
11616,12117,2030000000000000.0,BHL,11,33,800.0,184.3,0.0,2025-09-08,185.06825032657494,132.04000656367052,Large,Known Broker,Known Broker,False,True,True,False
11650,12151,2030000000000000.0,SHPC,25,7,1.0,530.0,530.0,2025-09-08,538.9915543486029,164.35823678781838,Small,Known Broker,Known Broker,False,True,False,True
11674,12175,2030000000000000.0,NRIC,54,56,927.0,0.0,0.0,2025-09-08,0.0,305.2718515247251,Large,Known Broker,Known Broker,False,False,True,False
11675,12176,2030000000000000.0,NRIC,54,56,813.0,0.0,0.0,2025-09-08,0.0,215.35165040773194,Large,Known Broker,Known Broker,False,False,True,False
11719,12220,2030000000000000.0,AKJCL,4,17,925.0,191.2,0.0,2025-09-08,193.01680120878046,110.42988725884175,Large,Known Broker,Known Broker,False,True,True,False
11748,12249,2030000000000000.0,PCBL,58,58,1.0,249.0,249.0,2025-09-08,248.82813687101864,24.88399753524098,Small,Known Broker,Known Broker,True,False,False,True
11813,12314,2030000000000000.0,UPCL,48,48,977.0,413.0,0.0,2025-09-08,411.3926609815923,72.60144626659115,Large,Known Broker,Known Broker,True,False,True,False
11860,12361,2030000000000000.0,MEL,57,34,720.0,280.1,0.0,2025-09-08,281.6840073755378,39.77700340650167,Large,Known Broker,Known Broker,False,True,True,False
11866,12367,2030000000000000.0,UPCL,48,35,877.0,413.0,0.0,2025-09-08,411.3926609815923,81.2337368339086,Large,Known Broker,Known Broker,True,False,True,False
11914,12415,2030000000000000.0,NGPL,49,57,1.0,390.0,390.0,2025-09-08,397.2731191471952,127.49215662149855,Small,Known Broker,Known Broker,False,True,False,True
11922,12423,2030000000000000.0,SHIVM,34,66,700.0,580.5,0.0,2025-09-08,582.6545621696162,0.1000000022941634,Large,Known Broker,Known Broker,False,True,True,False
11950,12451,2030000000000000.0,SNLI,21,84,1.0,446.0,446.0,2025-09-08,454.30175086107926,237.73422835875775,Small,Known Broker,Known Broker,False,True,False,True
11983,12484,2030000000000000.0,LSL,28,34,679.0,231.9,0.0,2025-09-08,230.8863056823548,0.0,Large,Known Broker,Known Broker,True,False,True,False
11985,12486,2030000000000000.0,UPCL,28,5,927.0,412.9,0.0,2025-09-08,411.3926609815923,104.52927819515818,Large,Known Broker,Known Broker,True,False,True,False
11991,12492,2030000000000000.0,LEC,35,34,879.0,211.7,0.0,2025-09-08,211.5893387230881,443.5782118183898,Large,Known Broker,Known Broker,True,False,True,False
11994,12495,2030000000000000.0,SHL,49,25,700.0,544.4,0.0,2025-09-08,546.5848144847699,283.99683683684583,Large,Known Broker,Known Broker,False,True,True,False
12037,12538,2030000000000000.0,DORDI,11,49,824.0,236.3,0.0,2025-09-08,238.47625488173932,244.53668436453611,Large,Known Broker,Known Broker,False,True,True,False
12146,12647,2030000000000000.0,UNHPL,33,42,830.0,457.0,0.0,2025-09-08,456.54486181837126,0.0,Large,Known Broker,Known Broker,True,False,True,False
12156,12657,2030000000000000.0,SANIMA,55,47,865.0,366.0,0.0,2025-09-08,365.24953040257503,83.42711389790718,Large,Known Broker,Known Broker,True,False,True,False
12172,12673,2030000000000000.0,MKJC,91,38,633.0,600.0,0.0,2025-09-08,605.2195299125525,0.0,Large,Known Broker,Known Broker,False,True,True,False
12197,12698,2030000000000000.0,NHDL,41,58,1.0,652.0,652.0,2025-09-08,668.0323309874173,202.07259421637156,Small,Known Broker,Known Broker,False,True,False,True
12275,12776,2030000000000000.0,SHINE,33,57,1.0,415.0,415.0,2025-09-08,414.7271960251242,282.64141593192113,Small,Known Broker,Known Broker,True,False,False,True
12298,12799,2030000000000000.0,SBL,14,58,630.0,371.0,0.0,2025-09-08,370.97390539106954,150.61900057208757,Large,Known Broker,Known Broker,True,False,True,False
12300,12801,2030000000000000.0,LEC,4,34,900.0,211.7,0.0,2025-09-08,211.5893387230881,399.4587129270491,Large,Known Broker,Known Broker,True,False,True,False
12304,12805,2030000000000000.0,MNBBL,85,94,927.0,436.8,0.0,2025-09-08,438.0804152090383,0.15275252688804153,Large,Known Broker,Known Broker,False,True,True,False
12308,12809,2030000000000000.0,UPPER,49,78,703.0,183.5,0.0,2025-09-08,184.21903205587392,39.72484529025577,Large,Known Broker,Known Broker,False,True,True,False
12371,12872,2030000000000000.0,KSBBL,59,42,870.0,527.0,0.0,2025-09-08,526.8804312337569,186.3109318674956,Large,Known Broker,Known Broker,True,False,True,False
12374,12875,2030000000000000.0,SAGF,13,58,100.0,9.28,928.0,2025-09-08,9.375238095238096,264.83161845469823,Large,Known Broker,Known Broker,False,True,False,True
12377,12878,2030000000000000.0,SBI,38,57,1.0,386.2,386.2,2025-09-08,386.3342444795757,103.96364749277313,Small,Known Broker,Known Broker,False,True,False,True
12446,12947,2030000000000000.0,SHEL,57,25,890.0,303.0,0.0,2025-09-08,303.3728467373475,0.23094011073895776,Large,Known Broker,Known Broker,False,True,True,False
12476,12977,2030000000000000.0,EBL,29,6,703.0,710.5,0.0,2025-09-08,714.1563673550174,0.17320508304993276,Large,Known Broker,Known Broker,False,True,True,False
12512,13013,2030000000000000.0,SRLI,7,59,2.0,391.0,782.0,2025-09-08,393.14475828354153,244.83929423195482,Small,Known Broker,Known Broker,False,True,False,True
12539,13040,2030000000000000.0,GVL,29,33,810.0,526.0,0.0,2025-09-08,528.5344516129032,93.24206847413188,Large,Known Broker,Known Broker,False,True,True,False
12559,13060,2030000000000000.0,MNBBL,85,33,744.0,436.8,0.0,2025-09-08,438.0804152090383,296.2134590685153,Large,Known Broker,Known Broker,False,True,True,False
12595,13096,2030000000000000.0,AKJCL,4,52,950.0,191.2,0.0,2025-09-08,193.01680120878046,207.2125076662477,Large,Known Broker,Known Broker,False,True,True,False
12640,13141,2030000000000000.0,NGPL,29,71,650.0,393.7,0.0,2025-09-08,397.2731191471952,196.8528977011393,Large,Known Broker,Known Broker,False,True,True,False
12646,13147,2030000000000000.0,UNHPL,33,36,800.0,455.0,0.0,2025-09-08,456.54486181837126,34.35597958630728,Large,Known Broker,Known Broker,False,True,True,False
12661,13162,2030000000000000.0,EBL,29,6,810.0,710.6,0.0,2025-09-08,714.1563673550174,0.057735032967354535,Large,Known Broker,Known Broker,False,True,True,False
12665,13166,2030000000000000.0,EBL,45,6,713.0,710.9,0.0,2025-09-08,714.1563673550174,0.10000000348836592,Large,Known Broker,Known Broker,False,True,True,False
12759,13260,2030000000000000.0,AKPL,58,46,1.0,250.0,250.0,2025-09-08,253.25692971779202,268.9033283542644,Small,Known Broker,Known Broker,False,True,False,True
12782,13283,2030000000000000.0,HEI,34,7,631.0,570.0,0.0,2025-09-08,569.4322309921071,186.48413694825334,Large,Known Broker,Known Broker,True,False,True,False
12884,13385,2030000000000000.0,HIDCLP,8,43,800.0,196.7,0.0,2025-09-08,196.56631634340698,2.1385353250581542,Large,Known Broker,Known Broker,True,False,True,False
12885,13386,2030000000000000.0,HIDCLP,8,44,980.0,196.0,0.0,2025-09-08,196.56631634340698,0.47258156600662304,Large,Known Broker,Known Broker,False,True,True,False
12938,13439,2030000000000000.0,NBF2,13,38,100.0,9.38,938.0,2025-09-08,9.456645161290322,519.8153788926755,Large,Known Broker,Known Broker,False,True,False,True
12956,13457,2030000000000000.0,RADHI,45,63,700.0,750.5,0.0,2025-09-08,755.9634460172596,79.46951197367329,Large,Known Broker,Known Broker,False,True,True,False
13007,13508,2030000000000000.0,TPC,45,4,700.0,328.0,0.0,2025-09-08,330.0659440559441,189.37088829420568,Large,Known Broker,Known Broker,False,True,True,False
